CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR,MEETING_TYPE,MEETING_CATEGORY
74693,CSE,616,  A,Simulation of Physical Systems,3,15,18,1800,1920,TR,BEN,002,"Ferrenberg, Alan",CLAS,01
71368,CSE,148,  F,Business Computing,3,30,28,1600,1720,MW,BEN,024,"Tepe, Dirk",CLAS,01
76135,CSE,148,  K,Business Computing,3,30,28,1130,1250,MW,BEN,001,"Meaney, Stephen",CLAS,01
79792,CSE,148,  J,Business Computing,3,29,28,1000,1120,MW,BEN,001,"Meaney, Stephen",CLAS,01
79603,CSE,617,  A,Advanced Networks,3,13,16,0830,0950,TR,BEN,002,"Yue, Jianhui",CLAS,01
71341,CSE,283,  A,Data Communications & Network,3,22,32,0800,0950,MW,BEN,010,"Yue, Jianhui",CLAS,01
74690,CSE,283,  B,Data Communications & Network,3,31,32,1000,1150,MW,BEN,010,"Yue, Jianhui",CLAS,01
79793,CSE,148,  O,Business Computing,3,28,28,1800,1920,MW,BEN,001,"Kellogg, Joanna",CLAS,01
74684,CSE,251,  A,Intro to Game Programming,3,28,28,1800,2040,M,BEN,010,"Bernard, Christopher",CLAS,01
71716,CSE,271,M A,Object-Oriented Programming,3,20,24,1900,2020,MW,JHN,118,"Luczaj, Jerome",CLAS,01
71338,CSE,273,  A,Optimization Modeling,3,44,40,1600,1720,TR,BEN,207,"Patton, Jon",CLAS,01
71630,CSE,262,M A,"Tech,Ethics & Global Society",3,8,8,1130,1250,M,JHN,015,"Evans, Donna",CLAS,01
71427,CSE,449,  A,Senior Design Project,1 - 2,53,60,1800,1855,M,,,"Kiper, James",CLAS,01
74691,CSE,465,  A,Comparative Prog. Languages,3,55,26,1000,1120,TR,KRG,221,"Zmuda, Michael",CLAS,01
74692,CSE,565,  A,Comparative Prog. Languages,3,3,3,1000,1120,TR,KRG,221,"Zmuda, Michael",CLAS,01
76144,CSE,151,  A,"Computers, Comp Sci & Society",3,28,28,1800,1920,TR,BEN,006,"Pagura, Ann",CLAS,01
79592,CSE,321,  A,Software Quality Assurance,3,31,20,1430,1550,MW,BEN,009,"Sobel, Ann",CLAS,01
71330,CSE,201,  A,Intro to Software Engineering,3,30,32,1130,1250,MW,BEN,009,"Sobel, Ann",CLAS,01
79584,CSE,201,  B,Intro to Software Engineering,3,28,32,1300,1420,MW,BEN,009,"Sobel, Ann",CLAS,01
77861,CSE,148,  G,Business Computing,3,30,28,1800,1920,MW,BEN,024,"Stiles, William",CLAS,01
71377,CSE,148, AA,Business Computing,3,30,28,0830,0950,TR,BEN,024,"Toaddy, Jeffrey",CLAS,01
71344,CSE,385,  A,Database Systems,3,34,34,0830,0950,MW,BEN,016,"Inclezan, Daniela",CLAS,01
79593,CSE,385,  B,Database Systems,3,34,34,1000,1120,MW,BEN,016,"Inclezan, Daniela",CLAS,01
71381,CSE,148, EE,Business Computing,3,30,28,1430,1550,TR,BEN,024,"Weber, Matthew",CLAS,01
